trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
150,32,"(32, 64, 128)","(32, 64, 128, 256)",16,0.001,4,0.9421656727790833,0.00022684555733576417,0.3675128221511841,39
151,32,"(32, 64, 128)","(32, 64)",16,0.0001,2,0.9238346815109253,0.00022375641856342554,0.39690375328063965,189
152,32,"(32, 64, 128)","(32, 64, 128)",16,0.0001,3,0.9308584332466125,0.00024516135454177856,0.4080725312232971,120
153,32,"(32, 64, 128)","(32, 64, 128, 256)",16,0.0001,4,0.9397571086883545,0.000231815007282421,0.3726036250591278,128
154,32,"(32, 64, 128)","(32, 64)",32,0.01,2,0.9236760139465332,0.00026985458680428565,0.4456649422645569,31
155,32,"(32, 64, 128)","(32, 64, 128)",32,0.01,3,0.9024460315704346,0.0004150714084971696,0.6397677063941956,29
156,32,"(32, 64, 128)","(32, 64, 128, 256)",32,0.01,4,0.8685675263404846,0.001162688946351409,1.4562846422195435,33
157,32,"(32, 64, 128)","(32, 64)",32,0.001,2,0.9358630180358887,0.00021776545327156782,0.3637625575065613,39
158,32,"(32, 64, 128)","(32, 64, 128)",32,0.001,3,0.9406368732452393,0.0002120683784596622,0.3496420979499817,44
159,32,"(32, 64, 128)","(32, 64, 128, 256)",32,0.001,4,0.9412714838981628,0.00022674640058539808,0.3629286289215088,33
160,32,"(32, 64, 128)","(32, 64)",32,0.0001,2,0.9295171499252319,0.0002429150918032974,0.4041493833065033,152
161,32,"(32, 64, 128)","(32, 64, 128)",32,0.0001,3,0.9371466636657715,0.00023178696574177593,0.37819910049438477,142
162,32,"(32, 64, 128)","(32, 64, 128, 256)",32,0.0001,4,0.9408532381057739,0.00023236489505507052,0.3716985583305359,123
163,32,"(32, 64, 128)","(32, 64)",64,0.01,2,0.9146763682365417,0.00032591851777397096,0.5221192240715027,27
164,32,"(32, 64, 128)","(32, 64, 128)",64,0.01,3,0.9269354939460754,0.0003448143834248185,0.5154132843017578,47
165,32,"(32, 64, 128)","(32, 64, 128, 256)",64,0.01,4,0.9306420683860779,0.0005163337918929756,0.6764986515045166,54
166,32,"(32, 64, 128)","(32, 64)",64,0.001,2,0.9368149042129517,0.00021535527775995433,0.3620505630970001,39
167,32,"(32, 64, 128)","(32, 64, 128)",64,0.001,3,0.9384014010429382,0.00023809367849025875,0.3850571811199188,24
168,32,"(32, 64, 128)","(32, 64, 128, 256)",64,0.001,4,0.943045437335968,0.0002186801575589925,0.3507128059864044,36
169,32,"(32, 64, 128)","(32, 64)",64,0.0001,2,0.9344351887702942,0.00023678143043071032,0.38631969690322876,150
